35.70990021,139.5229919,1.5657513
35.70986972,139.5229906,1.5657513
35.70984086,139.5229832,1.5657513
35.70983042,139.5230243,1.5657513
35.70987159,139.5230222,1.5657513
35.70991133,139.5230323,1.5657513
35.70991133,139.5230631,1.5657513
35.70986995,139.5230604,1.5657513
35.70990021,139.5229919,1.5657513

#midori.csv
35.70978530064489, 139.52313470209748,1.5657513
35.70973902003605, 139.52312330271033,1.5657513
35.70970254000776, 139.5231179382928,1.5657513
35.70971125165782, 139.52314274872373,1.5657513
35.709731941822895, 139.52314140761936,1.5657513
35.70976188810495, 139.52314476038032,1.5657513
35.70976896631543, 139.52317493522872,1.5657513
35.70974555377068, 139.5231709119156,1.5657513
35.7097172409167, 139.5231648769459,1.5657513
